auth-1         | INFO:     172.28.0.1:40560 - "GET /auth/login HTTP/1.1" 307 Temporary Redirect
openldap       | 69c9369b conn=1015 fd=12 ACCEPT from IP=172.28.0.5:44454 (IP=0.0.0.0:389)
openldap       | 69c9369b conn=1015 op=0 BIND dn="cn=admin,dc=example,dc=com" method=128
openldap       | 69c9369b conn=1015 op=0 BIND dn="cn=admin,dc=example,dc=com" mech=SIMPLE ssf=0
openldap       | 69c9369b conn=1015 op=0 RESULT tag=97 err=0 text=
openldap       | 69c9369b conn=1015 op=1 SRCH base="ou=People,dc=example,dc=com" scope=2 deref=3 filter="(&(mail=jane@example.com)(objectClass=inetOrgPerson)(objectClass=organizationalPerson))"
openldap       | 69c9369b conn=1015 op=1 SRCH attr=entryUUID uid mail sn cn objectclass
openldap       | 69c9369b conn=1015 op=1 SEARCH RESULT tag=101 err=0 nentries=1 text=
openldap       | 69c9369b conn=1015 op=2 UNBIND
openldap       | 69c9369b conn=1015 fd=12 closed
openldap       | 69c9369b conn=1016 fd=12 ACCEPT from IP=172.28.0.5:44456 (IP=0.0.0.0:389)
openldap       | 69c9369b conn=1016 op=0 BIND dn="uid=jane.smith,ou=People,dc=example,dc=com" method=128
openldap       | 69c9369b conn=1016 op=0 BIND dn="uid=jane.smith,ou=People,dc=example,dc=com" mech=SIMPLE ssf=0
openldap       | 69c9369b conn=1016 op=0 RESULT tag=97 err=0 text=
openldap       | 69c9369b conn=1016 op=1 UNBIND
openldap       | 69c9369b conn=1016 fd=12 closed
frontend-1     | 172.28.0.1 - - [29/Mar/2026:14:26:35 +0000] "GET /callback?session_state=b194519d-5c93-4a65-9055-4f06bcc27a27&code=90891610-964a-4cb3-a0a6-c4d97e73370f.b194519d-5c93-4a65-9055-4f06bcc27a27.1de53045-86f4-4b26-822f-9b61aa359919 HTTP/1.1" 200 226 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0" "-"
auth-1         | INFO:auth.keycloak_client:Exchanging code at: http://keycloak:8080/realms/reports-realm/protocol/openid-connect/token
auth-1         | INFO:auth.keycloak_client:Client ID: bionicpro-auth
auth-1         | INFO:auth.keycloak_client:Request data: {'grant_type': 'authorization_code', 'code': '90891610-964a-4cb3-a0a6-c4d97e73370f.b194519d-5c93-4a65-9055-4f06bcc27a27.1de53045-86f4-4b26-822f-9b61aa359919', 'redirect_uri': 'http://localhost:3000/callback', 'client_id': 'bionicpro-auth'}
openldap       | 69c9369b conn=1017 fd=12 ACCEPT from IP=172.28.0.5:44472 (IP=0.0.0.0:389)
openldap       | 69c9369b conn=1017 op=0 BIND dn="cn=admin,dc=example,dc=com" method=128
openldap       | 69c9369b conn=1017 op=0 BIND dn="cn=admin,dc=example,dc=com" mech=SIMPLE ssf=0
openldap       | 69c9369b conn=1017 op=0 RESULT tag=97 err=0 text=
openldap       | 69c9369b conn=1017 op=1 SRCH base="ou=People,dc=example,dc=com" scope=2 deref=3 filter="(&(uid=jane.smith)(objectClass=inetOrgPerson)(objectClass=organizationalPerson))"
openldap       | 69c9369b conn=1017 op=1 SRCH attr=entryUUID uid mail sn cn objectclass
openldap       | 69c9369b conn=1017 op=1 SEARCH RESULT tag=101 err=0 nentries=1 text=
openldap       | 69c9369b conn=1017 op=2 UNBIND
openldap       | 69c9369b conn=1017 fd=12 closed
openldap       | 69c9369b conn=1018 fd=12 ACCEPT from IP=172.28.0.5:44474 (IP=0.0.0.0:389)
openldap       | 69c9369b conn=1018 op=0 BIND dn="cn=admin,dc=example,dc=com" method=128
openldap       | 69c9369b conn=1018 op=0 BIND dn="cn=admin,dc=example,dc=com" mech=SIMPLE ssf=0
openldap       | 69c9369b conn=1018 op=0 RESULT tag=97 err=0 text=
openldap       | 69c9369b conn=1018 op=1 SRCH base="ou=Groups,dc=example,dc=com" scope=2 deref=3 filter="(&(member=uid=jane.smith,ou=people,dc=example,dc=com)(objectClass=groupOfNames))"
openldap       | 69c9369b conn=1018 op=1 SRCH attr=entryUUID cn objectclass
openldap       | 69c9369b <= mdb_equality_candidates: (member) not indexed
openldap       | 69c9369b conn=1018 op=1 SEARCH RESULT tag=101 err=0 nentries=1 text=
openldap       | 69c9369b conn=1018 op=2 UNBIND
openldap       | 69c9369b conn=1018 fd=12 closed
auth-1         | INFO:httpx:HTTP Request: POST http://keycloak:8080/realms/reports-realm/protocol/openid-connect/token "HTTP/1.1 200 OK"
auth-1         | INFO:auth.keycloak_client:Response status: 200
